"","Country","WorldID"
"Angola26","Angola",19638
"Angola27","Angola",19639
"Angola28","Angola",19640
"Angola29","Angola",19641
"Angola30","Angola",19642
"Angola31","Angola",19643
"Angola32","Angola",19992
"Angola33","Angola",19993
"Angola34","Angola",19994
"Angola35","Angola",19995
"Angola36","Angola",19996
"Angola37","Angola",19997
"Angola38","Angola",19998
"Angola39","Angola",19999
"Angola40","Angola",20000
"Angola41","Angola",20001
"Angola42","Angola",20002
"Angola43","Angola",20353
"Angola44","Angola",20354
"Angola45","Angola",20355
"Angola46","Angola",20356
"Angola47","Angola",20357
"Angola48","Angola",20358
"Angola49","Angola",20359
"Angola50","Angola",20360
"Angola51","Angola",20361
"Angola52","Angola",20362
"Angola53","Angola",20713
"Angola54","Angola",20714
"Angola55","Angola",20715
"Angola56","Angola",20716
"Angola57","Angola",20717
"Angola58","Angola",20718
"Angola59","Angola",20719
"Angola60","Angola",20720
"Angola61","Angola",20721
"Angola62","Angola",20722
"Angola63","Angola",21073
"Angola64","Angola",21074
"Angola65","Angola",21075
"Angola66","Angola",21076
"Angola67","Angola",21077
"Angola68","Angola",21078
"Angola69","Angola",21079
"Angola70","Angola",21080
"Angola71","Angola",21081
"Angola72","Angola",21082
"Angola73","Angola",21083
"Angola74","Angola",21084
"Angola75","Angola",21085
"Angola76","Angola",21433
"Angola77","Angola",21434
"Angola78","Angola",21435
"Angola79","Angola",21436
"Angola80","Angola",21437
"Angola81","Angola",21438
"Angola82","Angola",21439
"Angola83","Angola",21440
"Angola84","Angola",21441
"Angola85","Angola",21442
"Angola86","Angola",21443
"Angola87","Angola",21444
"Angola88","Angola",21445
"Angola89","Angola",21794
"Angola90","Angola",21795
"Angola91","Angola",21796
"Angola92","Angola",21797
"Angola93","Angola",21798
"Angola94","Angola",21799
"Angola95","Angola",21800
"Angola96","Angola",21801
"Angola97","Angola",21802
"Angola98","Angola",21803
"Angola99","Angola",21804
"Angola100","Angola",21805
"Angola101","Angola",22154
"Angola102","Angola",22155
"Angola103","Angola",22156
"Angola104","Angola",22157
"Angola105","Angola",22158
"Angola106","Angola",22159
"Angola107","Angola",22160
"Angola108","Angola",22161
"Angola109","Angola",22162
"Angola110","Angola",22163
"Angola111","Angola",22164
"Angola112","Angola",22165
"Angola113","Angola",22514
"Angola114","Angola",22515
"Angola115","Angola",22516
"Angola116","Angola",22517
"Angola117","Angola",22518
"Angola118","Angola",22519
"Angola119","Angola",22520
"Angola120","Angola",22521
"Angola121","Angola",22522
"Angola122","Angola",22523
"Angola123","Angola",22874
"Angola124","Angola",22875
"Angola125","Angola",22876
"Angola126","Angola",22877
"Angola127","Angola",22878
"Angola128","Angola",22879
"Angola129","Angola",22880
"Angola130","Angola",22881
"Angola131","Angola",22882
"Angola132","Angola",22883
"Angola133","Angola",23233
"Angola134","Angola",23234
"Angola135","Angola",23235
"Angola136","Angola",23236
"Angola137","Angola",23237
"Angola138","Angola",23238
"Angola139","Angola",23239
"Angola140","Angola",23240
"Angola141","Angola",23241
"Angola142","Angola",23242
"Angola143","Angola",23594
"Angola144","Angola",23595
"Angola145","Angola",23596
"Angola146","Angola",23597
"Angola147","Angola",23598
"Angola148","Angola",23599
"Angola149","Angola",23600
"Angola150","Angola",23601
"Angola151","Angola",23602
"Angola152","Angola",23953
"Angola153","Angola",23954
"Angola154","Angola",23955
"Angola155","Angola",23956
"Angola156","Angola",23957
"Angola157","Angola",23958
"Angola158","Angola",23960
"Angola159","Angola",23961
"Angola160","Angola",23962
"Angola161","Angola",24313
"Angola162","Angola",24314
"Angola163","Angola",24315
"Angola164","Angola",24316
"Angola165","Angola",24317
"Angola166","Angola",24673
"Angola167","Angola",24674
"Angola168","Angola",24675
"Angola169","Angola",24676
"Angola170","Angola",24677
"Angola171","Angola",25033
"Angola172","Angola",25034
"Angola173","Angola",25393
"Anguilla1","Anguilla",35757
"Anguilla2","Anguilla",35758
"Anguilla3","Anguilla",36117
"Albania1","Albania",44840
"Albania2","Albania",44841
"Albania3","Albania",45200
"Albania4","Albania",45201
"Albania5","Albania",45202
"Albania6","Albania",45560
"Albania7","Albania",45561
"Albania8","Albania",45920
"Albania9","Albania",45921
"Aland1","Aland",50960
"Aland2","Aland",50961
"Aland3","Aland",51320
"Aland4","Aland",51321
"Aland5","Aland",51322
"Andorra","Andorra",45902
"United Arab Emirates1","United Arab Emirates",38033
"United Arab Emirates2","United Arab Emirates",38034
"United Arab Emirates3","United Arab Emirates",38035
"United Arab Emirates4","United Arab Emirates",38036
"United Arab Emirates5","United Arab Emirates",38392
"United Arab Emirates6","United Arab Emirates",38393
"United Arab Emirates7","United Arab Emirates",38394
"United Arab Emirates8","United Arab Emirates",38395
"United Arab Emirates9","United Arab Emirates",38396
"United Arab Emirates10","United Arab Emirates",38752
"United Arab Emirates11","United Arab Emirates",38753
"United Arab Emirates12","United Arab Emirates",38754
"United Arab Emirates13","United Arab Emirates",38755
"United Arab Emirates14","United Arab Emirates",38756
"United Arab Emirates15","United Arab Emirates",38757
"United Arab Emirates16","United Arab Emirates",39115
"United Arab Emirates17","United Arab Emirates",39116
"United Arab Emirates18","United Arab Emirates",39117
"United Arab Emirates19","United Arab Emirates",39476
"United Arab Emirates20","United Arab Emirates",39477
"Argentina1","Argentina",4792
"Argentina2","Argentina",4793
"Argentina3","Argentina",4794
"Argentina4","Argentina",4795
"Argentina5","Argentina",4796
"Argentina6","Argentina",4797
"Argentina7","Argentina",5152
"Argentina8","Argentina",5153
"Argentina9","Argentina",5154
"Argentina10","Argentina",5155
"Argentina11","Argentina",5511
"Argentina12","Argentina",5512
"Argentina13","Argentina",5868
"Argentina14","Argentina",5869
"Argentina15","Argentina",5870
"Argentina16","Argentina",5871
"Argentina17","Argentina",5872
"Argentina18","Argentina",6227
"Argentina19","Argentina",6228
"Argentina20","Argentina",6229
"Argentina21","Argentina",6230
"Argentina22","Argentina",6231
"Argentina23","Argentina",6232
"Argentina24","Argentina",6233
"Argentina25","Argentina",6587
"Argentina26","Argentina",6588
"Argentina27","Argentina",6589
"Argentina28","Argentina",6590
"Argentina29","Argentina",6591
"Argentina30","Argentina",6592
"Argentina31","Argentina",6593
"Argentina32","Argentina",6948
"Argentina33","Argentina",6949
"Argentina34","Argentina",6950
"Argentina35","Argentina",6951
"Argentina36","Argentina",6952
"Argentina37","Argentina",6953
"Argentina38","Argentina",6954
"Argentina39","Argentina",6955
"Argentina40","Argentina",7308
"Argentina41","Argentina",7309
"Argentina42","Argentina",7310
"Argentina43","Argentina",7311
"Argentina44","Argentina",7312
"Argentina45","Argentina",7313
"Argentina46","Argentina",7314
"Argentina47","Argentina",7315
"Argentina48","Argentina",7669
"Argentina49","Argentina",7670
"Argentina50","Argentina",7671
"Argentina51","Argentina",7672
"Argentina52","Argentina",7673
"Argentina53","Argentina",8028
"Argentina54","Argentina",8029
"Argentina55","Argentina",8030
"Argentina56","Argentina",8031
"Argentina57","Argentina",8032
"Argentina58","Argentina",8033
"Argentina59","Argentina",8034
"Argentina60","Argentina",8035
"Argentina61","Argentina",8389
"Argentina62","Argentina",8390
"Argentina63","Argentina",8391
"Argentina64","Argentina",8392
"Argentina65","Argentina",8393
"Argentina66","Argentina",8394
"Argentina67","Argentina",8395
"Argentina68","Argentina",8396
"Argentina69","Argentina",8748
"Argentina70","Argentina",8749
"Argentina71","Argentina",8750
"Argentina72","Argentina",8751
"Argentina73","Argentina",8752
"Argentina74","Argentina",8753
"Argentina75","Argentina",8754
"Argentina76","Argentina",8755
"Argentina77","Argentina",8756
"Argentina78","Argentina",8757
"Argentina79","Argentina",9108
"Argentina80","Argentina",9109
"Argentina81","Argentina",9110
"Argentina82","Argentina",9111
"Argentina83","Argentina",9112
"Argentina84","Argentina",9113
"Argentina85","Argentina",9114
"Argentina86","Argentina",9115
"Argentina87","Argentina",9116
"Argentina88","Argentina",9117
"Argentina89","Argentina",9469
"Argentina90","Argentina",9470
"Argentina91","Argentina",9471
"Argentina92","Argentina",9472
"Argentina93","Argentina",9473
"Argentina94","Argentina",9474
"Argentina95","Argentina",9475
"Argentina96","Argentina",9476
"Argentina97","Argentina",9477
"Argentina98","Argentina",9478
"Argentina99","Argentina",9829
"Argentina100","Argentina",9830
"Argentina101","Argentina",9831
"Argentina102","Argentina",9832
"Argentina103","Argentina",9833
"Argentina104","Argentina",9834
"Argentina105","Argentina",9835
"Argentina106","Argentina",9836
"Argentina107","Argentina",9837
"Argentina108","Argentina",9838
"Argentina109","Argentina",9839
"Argentina110","Argentina",10189
"Argentina111","Argentina",10190
"Argentina112","Argentina",10191
"Argentina113","Argentina",10192
"Argentina114","Argentina",10193
"Argentina115","Argentina",10194
"Argentina116","Argentina",10195
"Argentina117","Argentina",10196
"Argentina118","Argentina",10197
"Argentina119","Argentina",10198
"Argentina120","Argentina",10199
"Argentina121","Argentina",10200
"Argentina122","Argentina",10201
"Argentina123","Argentina",10202
"Argentina124","Argentina",10203
"Argentina125","Argentina",10549
"Argentina126","Argentina",10550
"Argentina127","Argentina",10551
"Argentina128","Argentina",10552
"Argentina129","Argentina",10553
"Argentina130","Argentina",10554
"Argentina131","Argentina",10555
"Argentina132","Argentina",10556
"Argentina133","Argentina",10557
"Argentina134","Argentina",10558
"Argentina135","Argentina",10559
"Argentina136","Argentina",10560
"Argentina137","Argentina",10561
"Argentina138","Argentina",10562
"Argentina139","Argentina",10563
"Argentina140","Argentina",10909
"Argentina141","Argentina",10910
"Argentina142","Argentina",10911
"Argentina143","Argentina",10912
"Argentina144","Argentina",10913
"Argentina145","Argentina",10914
"Argentina146","Argentina",10915
"Argentina147","Argentina",10916
"Argentina148","Argentina",10917
"Argentina149","Argentina",10918
"Argentina150","Argentina",10919
"Argentina151","Argentina",10920
"Argentina152","Argentina",10921
"Argentina153","Argentina",10922
"Argentina154","Argentina",10923
"Argentina155","Argentina",10924
"Argentina156","Argentina",11270
"Argentina157","Argentina",11271
"Argentina158","Argentina",11272
"Argentina159","Argentina",11273
"Argentina160","Argentina",11274
"Argentina161","Argentina",11275
"Argentina162","Argentina",11276
"Argentina163","Argentina",11277
"Argentina164","Argentina",11278
"Argentina165","Argentina",11279
"Argentina166","Argentina",11280
"Argentina167","Argentina",11281
"Argentina168","Argentina",11282
"Argentina169","Argentina",11283
"Argentina170","Argentina",11284
"Argentina171","Argentina",11630
"Argentina172","Argentina",11631
"Argentina173","Argentina",11632
"Argentina174","Argentina",11633
"Argentina175","Argentina",11634
"Argentina176","Argentina",11635
"Argentina177","Argentina",11636
"Argentina178","Argentina",11637
"Argentina179","Argentina",11638
"Argentina180","Argentina",11639
"Argentina181","Argentina",11640
"Argentina182","Argentina",11641
"Argentina183","Argentina",11642
"Argentina184","Argentina",11643
"Argentina185","Argentina",11990
"Argentina186","Argentina",11991
"Argentina187","Argentina",11992
"Argentina188","Argentina",11993
"Argentina189","Argentina",11994
"Argentina190","Argentina",11995
"Argentina191","Argentina",11996
"Argentina192","Argentina",11997
"Argentina193","Argentina",11998
"Argentina194","Argentina",11999
"Argentina195","Argentina",12000
"Argentina196","Argentina",12001
"Argentina197","Argentina",12002
"Argentina198","Argentina",12350
"Argentina199","Argentina",12351
"Argentina200","Argentina",12352
"Argentina201","Argentina",12353
"Argentina202","Argentina",12354
"Argentina203","Argentina",12355
"Argentina204","Argentina",12356
"Argentina205","Argentina",12357
"Argentina206","Argentina",12358
"Argentina207","Argentina",12359
"Argentina208","Argentina",12360
"Argentina209","Argentina",12361
"Argentina210","Argentina",12362
"Argentina211","Argentina",12710
"Argentina212","Argentina",12711
"Argentina213","Argentina",12712
"Argentina214","Argentina",12713
"Argentina215","Argentina",12714
"Argentina216","Argentina",12715
"Argentina217","Argentina",12716
"Argentina218","Argentina",12717
"Argentina219","Argentina",12718
"Argentina220","Argentina",12719
"Argentina221","Argentina",12720
"Argentina222","Argentina",12721
"Argentina223","Argentina",12722
"Argentina224","Argentina",13070
"Argentina225","Argentina",13071
"Argentina226","Argentina",13072
"Argentina227","Argentina",13073
"Argentina228","Argentina",13074
"Argentina229","Argentina",13075
"Argentina230","Argentina",13076
"Argentina231","Argentina",13077
"Argentina232","Argentina",13078
"Argentina233","Argentina",13079
"Argentina234","Argentina",13080
"Argentina235","Argentina",13081
"Argentina236","Argentina",13082
"Argentina237","Argentina",13083
"Argentina238","Argentina",13430
"Argentina239","Argentina",13431
"Argentina240","Argentina",13432
"Argentina241","Argentina",13433
"Argentina242","Argentina",13434
"Argentina243","Argentina",13435
"Argentina244","Argentina",13436
"Argentina245","Argentina",13437
"Argentina246","Argentina",13438
"Argentina247","Argentina",13439
"Argentina248","Argentina",13440
"Argentina249","Argentina",13441
"Argentina250","Argentina",13442
"Argentina251","Argentina",13443
"Argentina252","Argentina",13790
"Argentina253","Argentina",13791
"Argentina254","Argentina",13792
"Argentina255","Argentina",13793
"Argentina256","Argentina",13794
"Argentina257","Argentina",13795
"Argentina258","Argentina",13796
"Argentina259","Argentina",13797
"Argentina260","Argentina",13798
"Argentina261","Argentina",13799
"Argentina262","Argentina",13800
"Argentina263","Argentina",13801
"Argentina264","Argentina",13802
"Argentina265","Argentina",13803
"Argentina266","Argentina",13804
"Argentina267","Argentina",14151
"Argentina268","Argentina",14152
"Argentina269","Argentina",14153
"Argentina270","Argentina",14154
"Argentina271","Argentina",14155
"Argentina272","Argentina",14156
"Argentina273","Argentina",14157
"Argentina274","Argentina",14158
"Argentina275","Argentina",14159
"Argentina276","Argentina",14160
"Argentina277","Argentina",14161
"Argentina278","Argentina",14162
"Argentina279","Argentina",14163
"Argentina280","Argentina",14164
"Argentina281","Argentina",14165
"Argentina282","Argentina",14511
"Argentina283","Argentina",14512
"Argentina284","Argentina",14513
"Argentina285","Argentina",14514
"Argentina286","Argentina",14515
"Argentina287","Argentina",14516
"Argentina288","Argentina",14517
"Argentina289","Argentina",14518
"Argentina290","Argentina",14519
"Argentina291","Argentina",14520
"Argentina292","Argentina",14521
"Argentina293","Argentina",14522
"Argentina294","Argentina",14523
"Argentina295","Argentina",14524
"Argentina296","Argentina",14525
"Argentina297","Argentina",14526
"Argentina298","Argentina",14871
"Argentina299","Argentina",14872
"Argentina300","Argentina",14873
"Argentina301","Argentina",14874
"Argentina302","Argentina",14875
"Argentina303","Argentina",14876
"Argentina304","Argentina",14877
"Argentina305","Argentina",14878
"Argentina306","Argentina",14879
"Argentina307","Argentina",14880
"Argentina308","Argentina",14881
"Argentina309","Argentina",14882
"Argentina310","Argentina",14883
"Argentina311","Argentina",14884
"Argentina312","Argentina",14885
"Argentina313","Argentina",14886
"Argentina314","Argentina",14887
"Argentina315","Argentina",15232
"Argentina316","Argentina",15233
"Argentina317","Argentina",15234
"Argentina318","Argentina",15235
"Argentina319","Argentina",15236
"Argentina320","Argentina",15237
"Argentina321","Argentina",15238
"Argentina322","Argentina",15239
"Argentina323","Argentina",15240
"Argentina324","Argentina",15241
"Argentina325","Argentina",15242
"Argentina326","Argentina",15243
"Argentina327","Argentina",15246
"Argentina328","Argentina",15247
"Argentina329","Argentina",15592
"Argentina330","Argentina",15593
"Argentina331","Argentina",15594
"Argentina332","Argentina",15595
"Argentina333","Argentina",15596
"Argentina334","Argentina",15597
"Argentina335","Argentina",15598
"Argentina336","Argentina",15599
"Argentina337","Argentina",15600
"Argentina338","Argentina",15601
"Argentina339","Argentina",15602
"Argentina340","Argentina",15603
"Argentina341","Argentina",15606
"Argentina342","Argentina",15607
"Argentina343","Argentina",15952
"Argentina344","Argentina",15953
"Argentina345","Argentina",15954
"Argentina346","Argentina",15955
"Argentina347","Argentina",15956
"Argentina348","Argentina",15957
"Argentina349","Argentina",15958
"Argentina350","Argentina",15959
"Argentina351","Argentina",15960
"Argentina352","Argentina",15961
"Argentina353","Argentina",15962
"Argentina354","Argentina",16313
"Argentina355","Argentina",16314
"Argentina356","Argentina",16315
"Argentina357","Argentina",16316
"Argentina358","Argentina",16317
"Argentina359","Argentina",16318
"Argentina360","Argentina",16319
"Argentina361","Argentina",16320
"Argentina362","Argentina",16321
"Argentina363","Argentina",16673
"Argentina364","Argentina",16674
"Argentina365","Argentina",16675
"Argentina366","Argentina",16676
"Argentina367","Argentina",16677
"Argentina368","Argentina",16678
"Argentina369","Argentina",16679
"Argentina370","Argentina",17034
"Argentina371","Argentina",17035
"Argentina372","Argentina",17036
"Argentina373","Argentina",17037
"Argentina374","Argentina",17038
"Armenia1","Armenia",44506
"Armenia2","Armenia",44507
"Armenia3","Armenia",44864
"Armenia4","Armenia",44865
"Armenia5","Armenia",44866
"Armenia6","Armenia",44867
"Armenia7","Armenia",45224
"Armenia8","Armenia",45225
"Armenia9","Armenia",45226
"Armenia10","Armenia",45585
"Armenia11","Armenia",45586
"American Samoa1","American Samoa",20530
"American Samoa2","American Samoa",20531
"American Samoa3","American Samoa",21969
"Antarctica1","Antarctica",1
"Antarctica2","Antarctica",2
"Antarctica3","Antarctica",3
"Antarctica4","Antarctica",4
"Antarctica5","Antarctica",5
"Antarctica6","Antarctica",6
"Antarctica7","Antarctica",7
"Antarctica8","Antarctica",8
"Antarctica9","Antarctica",9
"Antarctica10","Antarctica",10
"Antarctica11","Antarctica",11
"Antarctica12","Antarctica",12
"Antarctica13","Antarctica",13
"Antarctica14","Antarctica",14
"Antarctica15","Antarctica",15
"Antarctica16","Antarctica",16
"Antarctica17","Antarctica",17
"Antarctica18","Antarctica",18
"Antarctica19","Antarctica",19
"Antarctica20","Antarctica",20
"Antarctica21","Antarctica",21
"Antarctica22","Antarctica",22
"Antarctica23","Antarctica",23
"Antarctica24","Antarctica",24
"Antarctica25","Antarctica",25
"Antarctica26","Antarctica",26
"Antarctica27","Antarctica",27
"Antarctica28","Antarctica",28
"Antarctica29","Antarctica",29
"Antarctica30","Antarctica",30
"Antarctica31","Antarctica",31
"Antarctica32","Antarctica",32
"Antarctica33","Antarctica",33
"Antarctica34","Antarctica",34
"Antarctica35","Antarctica",35
"Antarctica36","Antarctica",36
"Antarctica37","Antarctica",37
"Antarctica38","Antarctica",38
"Antarctica39","Antarctica",39
"Antarctica40","Antarctica",40
"Antarctica41","Antarctica",41
"Antarctica42","Antarctica",42
"Antarctica43","Antarctica",43
"Antarctica44","Antarctica",44
"Antarctica45","Antarctica",45
"Antarctica46","Antarctica",46
"Antarctica47","Antarctica",47
"Antarctica48","Antarctica",48
"Antarctica49","Antarctica",49
"Antarctica50","Antarctica",50
"Antarctica51","Antarctica",51
"Antarctica52","Antarctica",52
"Antarctica53","Antarctica",53
"Antarctica54","Antarctica",54
"Antarctica55","Antarctica",55
"Antarctica56","Antarctica",56
"Antarctica57","Antarctica",57
"Antarctica58","Antarctica",58
"Antarctica59","Antarctica",59
"Antarctica60","Antarctica",60
"Antarctica61","Antarctica",61
"Antarctica62","Antarctica",62
"Antarctica63","Antarctica",63
"Antarctica64","Antarctica",64
"Antarctica65","Antarctica",65
"Antarctica66","Antarctica",66
"Antarctica67","Antarctica",67
"Antarctica68","Antarctica",68
"Antarctica69","Antarctica",69
"Antarctica70","Antarctica",70
"Antarctica71","Antarctica",71
"Antarctica72","Antarctica",72
"Antarctica73","Antarctica",73
"Antarctica74","Antarctica",74
"Antarctica75","Antarctica",75
"Antarctica76","Antarctica",76
"Antarctica77","Antarctica",77
"Antarctica78","Antarctica",78
"Antarctica79","Antarctica",79
"Antarctica80","Antarctica",80
"Antarctica81","Antarctica",81
"Antarctica82","Antarctica",82
"Antarctica83","Antarctica",83
"Antarctica84","Antarctica",84
"Antarctica85","Antarctica",85
"Antarctica86","Antarctica",86
"Antarctica87","Antarctica",87
"Antarctica88","Antarctica",88
"Antarctica89","Antarctica",89
"Antarctica90","Antarctica",90
"Antarctica91","Antarctica",91
"Antarctica92","Antarctica",92
"Antarctica93","Antarctica",93
"Antarctica94","Antarctica",94
"Antarctica95","Antarctica",95
"Antarctica96","Antarctica",96
"Antarctica97","Antarctica",97
"Antarctica98","Antarctica",98
"Antarctica99","Antarctica",99
"Antarctica100","Antarctica",100
"Antarctica101","Antarctica",101
"Antarctica102","Antarctica",102
"Antarctica103","Antarctica",103
"Antarctica104","Antarctica",104
"Antarctica105","Antarctica",105
"Antarctica106","Antarctica",106
"Antarctica107","Antarctica",107
"Antarctica108","Antarctica",108
"Antarctica109","Antarctica",109
"Antarctica110","Antarctica",110
"Antarctica111","Antarctica",111
"Antarctica112","Antarctica",112
"Antarctica113","Antarctica",113
"Antarctica114","Antarctica",114
"Antarctica115","Antarctica",115
"Antarctica116","Antarctica",116
"Antarctica117","Antarctica",117
"Antarctica118","Antarctica",118
"Antarctica119","Antarctica",119
"Antarctica120","Antarctica",120
"Antarctica121","Antarctica",121
"Antarctica122","Antarctica",122
"Antarctica123","Antarctica",123
"Antarctica124","Antarctica",124
"Antarctica125","Antarctica",125
"Antarctica126","Antarctica",126
"Antarctica127","Antarctica",127
"Antarctica128","Antarctica",128
"Antarctica129","Antarctica",129
"Antarctica130","Antarctica",130
"Antarctica131","Antarctica",131
"Antarctica132","Antarctica",132
"Antarctica133","Antarctica",133
"Antarctica134","Antarctica",134
"Antarctica135","Antarctica",135
"Antarctica136","Antarctica",136
"Antarctica137","Antarctica",137
"Antarctica138","Antarctica",138
"Antarctica139","Antarctica",139
"Antarctica140","Antarctica",140
"Antarctica141","Antarctica",141
"Antarctica142","Antarctica",142
"Antarctica143","Antarctica",143
"Antarctica144","Antarctica",144
"Antarctica145","Antarctica",145
"Antarctica146","Antarctica",146
"Antarctica147","Antarctica",147
"Antarctica148","Antarctica",148
"Antarctica149","Antarctica",149
"Antarctica150","Antarctica",150
"Antarctica151","Antarctica",151
"Antarctica152","Antarctica",152
"Antarctica153","Antarctica",153
"Antarctica154","Antarctica",154
"Antarctica155","Antarctica",155
"Antarctica156","Antarctica",156
"Antarctica157","Antarctica",157
"Antarctica158","Antarctica",158
"Antarctica159","Antarctica",159
"Antarctica160","Antarctica",160
"Antarctica161","Antarctica",161
"Antarctica162","Antarctica",162
"Antarctica163","Antarctica",163
"Antarctica164","Antarctica",164
"Antarctica165","Antarctica",165
"Antarctica166","Antarctica",166
"Antarctica167","Antarctica",167
"Antarctica168","Antarctica",168
"Antarctica169","Antarctica",169
"Antarctica170","Antarctica",170
"Antarctica171","Antarctica",171
"Antarctica172","Antarctica",172
"Antarctica173","Antarctica",173
"Antarctica174","Antarctica",174
"Antarctica175","Antarctica",175
"Antarctica176","Antarctica",176
"Antarctica177","Antarctica",177
"Antarctica178","Antarctica",178
"Antarctica179","Antarctica",179
"Antarctica180","Antarctica",180
"Antarctica181","Antarctica",181
"Antarctica182","Antarctica",182
"Antarctica183","Antarctica",183
"Antarctica184","Antarctica",184
"Antarctica185","Antarctica",185
"Antarctica186","Antarctica",186
"Antarctica187","Antarctica",187
"Antarctica188","Antarctica",188
"Antarctica189","Antarctica",189
"Antarctica190","Antarctica",190
"Antarctica191","Antarctica",191
"Antarctica192","Antarctica",192
"Antarctica193","Antarctica",193
"Antarctica194","Antarctica",194
"Antarctica195","Antarctica",195
"Antarctica196","Antarctica",196
"Antarctica197","Antarctica",197
"Antarctica198","Antarctica",198
"Antarctica199","Antarctica",199
"Antarctica200","Antarctica",200
"Antarctica201","Antarctica",201
"Antarctica202","Antarctica",202
"Antarctica203","Antarctica",203
"Antarctica204","Antarctica",204
